Codigo Aluno,Matemática,Português,Ciências,L.E. Inglês,História,Geografia,MediaAno,Interpretação gráfica do desempenho
9º ano,7,"8,7","8,5","8,2",9,"8,8","8,36",
MédiaG Discip,"7,45","7,95","8,42","7,7","8,9","8,32","8,123",
10014,,,,,,,,
4º ano,***,***,***,***,***,***,***,
5º ano,***,***,***,***,***,***,***,
6º ano,"7,8","7,6",9,"8,4","8,5","7,8","8,18",
7º ano,"8,3","7,3","7,8","6,3",7,"7,3","7,33",
8º ano,"7,8",8,7,"6,5",7,8,"7,38",
9º ano,"6,3","7,2","6,3","7,5","7,7",7,7,
MédiaG Discip,"7,55","7,52","7,52","7,17","7,55","7,52","7,471",
10015,,,,,,,,
4º ano,"7,8",8,"8,6",***,"8,6","8,5","8,3",
5º ano,"8,3","7,5","7,8",***,"8,1",8,"7,94",
6º ano,"7,4","7,7","8,2","9,1","8,6","8,5","8,25",
7º ano,8,8,"7,6","9,1","7,8","8,5","8,16",
8º ano,"7,5","7,3","7,3",7,"8,3","7,3","7,45",
9º ano,"6,3",8,"6,8","8,2","8,7","8,3","7,71",
MédiaG Discip,"7,55","7,75","7,71","8,35","8,35","8,18","7,981",
10016,,,,,,,,
4º ano,***,***,***,***,***,***,,
5º ano,9,"9,5","8,5",***,"9,5",9,"9,1",
6º ano,"7,8","8,3","8,7","6,4","8,3","7,5","7,83",
7º ano,"8,1","7,8","8,6",9,"7,8","7,6","8,15",
8º ano,"5,3","6,8","6,4","7,5","6,8",7,"6,63",
9º ano,"8,2","9,5","9,3","8,7","9,5","9,7","9,15",
MédiaG Discip,"7,68","8,38","8,3","7,9","8,38","8,16","8,141",
10017,,,,,,,,
4º ano,9,"7,6","7,6",***,"8,1","8,5","8,16",
5º ano,7,7,"7,2",***,7,"7,8","7,2",
6º ano,"5,5","5,3","6,2",7,7,"7,1","6,35",
7º ano,5,7,"5,8","5,5","5,3",7,"5,93",
8º ano,5,5,"5,2","7,8",5,7,"5,83",
9º ano,"6,7","6,7","6,3","6,5","6,7","6,5","6,56",
MédiaG Discip,"6,36","6,43","6,38","6,7","6,51","7,31","6,614",
10018,,,,,,,,
4º ano,"7,3","7,3","5,9",***,8,"7,3","7,16",
5º ano,"6,1","7,1","8,3",***,"7,5","5,6","6,92",
6º ano,"5,2","7,5","8,3","8,1","7,3","6,2","7,1",
7º ano,7,"8,3","8,3","7,5","8,3","7,5","7,81",
8º ano,7,7,7,"7,8",7,7,"7,13",
9º ano,"7,2","7,7",9,"7,8","8,8","8,7","8,2",
MédiaG Discip,"6,63","7,74","7,8","7,8","7,81","7,05","7,408",
10019,,,,,,,,
4º ano,"7,3",7,8,***,"7,1","7,3","7,34",
5º ano,"5,9",7,8,***,8,"7,6","7,3",
6º ano,"7,8","7,8","8,3","8,8",7,"7,1","7,8",
7º ano,"7,5",8,"8,3",8,"7,6","7,6","7,83",
8º ano,5,5,5,5,5,7,"5,33",
9º ano,8,"7,7","9,3","7,8","8,5","8,5","8,3",
MédiaG Discip,"6,91","7,08","7,81","7,4","7,2","7,51","7,317",
10020,,,,,,,,
4º ano,"7,5","8,1","8,1",***,"7,6","8,5","7,96",
5º ano,"7,3","8,6","7,5",***,8,"8,3","7,94",
6º ano,"8,6","8,6","8,1","9,1","8,5","8,8","8,61",
7º ano,"8,3","8,6","8,8","9,5","7,8","7,8","8,46",
