"Codigo Aluno","serie","Matemática","Português","Ciências","L.E. Inglês","História","Geografia","MediaAno","Interpretação gráfica do desempenho"
10016,"6º ano",7.8,8.3,8.7,6.4,8.3,7.5,7.83,
10016,"7º ano",8.1,7.8,8.6,9,7.8,7.6,8.15,
10016,"8º ano",5.3,6.8,6.4,7.5,6.8,7,6.63,
10016,"9º ano",8.2,9.5,9.3,8.7,9.5,9.7,9.15,
10017,"4º ano",9,7.6,7.6,,8.1,8.5,8.16,
10017,"5º ano",7,7,7.2,,7,7.8,7.2,
10017,"6º ano",5.5,5.3,6.2,7,7,7.1,6.35,
10017,"7º ano",5,7,5.8,5.5,5.3,7,5.93,
10017,"8º ano",5,5,5.2,7.8,5,7,5.83,
10017,"9º ano",6.7,6.7,6.3,6.5,6.7,6.5,6.56,
10018,"4º ano",7.3,7.3,5.9,,8,7.3,7.16,
10018,"5º ano",6.1,7.1,8.3,,7.5,5.6,6.92,
10018,"6º ano",5.2,7.5,8.3,8.1,7.3,6.2,7.1,
10018,"7º ano",7,8.3,8.3,7.5,8.3,7.5,7.81,
10018,"8º ano",7,7,7,7.8,7,7,7.13,
10018,"9º ano",7.2,7.7,9,7.8,8.8,8.7,8.2,
10019,"4º ano",7.3,7,8,,7.1,7.3,7.34,
10019,"5º ano",5.9,7,8,,8,7.6,7.3,
10019,"6º ano",7.8,7.8,8.3,8.8,7,7.1,7.8,
10019,"7º ano",7.5,8,8.3,8,7.6,7.6,7.83,
10019,"8º ano",5,5,5,5,5,7,5.33,
10019,"9º ano",8,7.7,9.3,7.8,8.5,8.5,8.3,
10020,"4º ano",7.5,8.1,8.1,,7.6,8.5,7.96,
10020,"5º ano",7.3,8.6,7.5,,8,8.3,7.94,
10020,"6º ano",8.6,8.6,8.1,9.1,8.5,8.8,8.61,
10020,"7º ano",8.3,8.6,8.8,9.5,7.8,7.8,8.46,
10020,"8º ano",8,9,8,7.5,9,8.3,8.3,
10020,"9º ano",9,9.3,8.5,9.3,8.8,9.2,9.01,
10021,"4º ano",8.6,8.8,8.6,,8.5,8.6,8.62,
10021,"5º ano",8.1,8,8.5,,8.3,8,8.18,
10021,"6º ano",7.3,7.1,7.3,8.5,8,7,7.53,
10021,"7º ano",5.9,7,8.1,8.6,8,7.6,7.53,
10021,"8º ano",7.8,7.5,7,8.8,8.3,7.8,7.86,
10021,"9º ano",7.2,6.3,7.8,6.5,7.3,6.2,6.88,
10022,"4º ano",9.3,8.8,9,,8.1,8.8,8.8,
10022,"5º ano",8.6,8.6,9.3,,9.5,9.1,9.02,
10022,"6º ano",8.8,9,9.5,8.8,8.8,9.5,9.06,
10022,"7º ano",9,9.1,9,9.3,9,8.5,8.98,
10022,"8º ano",8.8,9.8,8.8,9,9,9.8,9.2,
10022,"9º ano",9.7,9.5,9,8.8,8.8,9.3,9.18,
10023,"4º ano",10,9.6,10,,10,10,9.92,
10023,"5º ano",9,8.6,9.3,,9.8,10,9.34,
10023,"6º ano",7.3,7,7.8,7.6,7.8,,7.5,
10023,"7º ano",5.2,6.5,7,6,5.8,7.2,6.28,
10023,"8º ano",7.5,7.5,9,7,8.5,8,7.91,
10023,"9º ano",8.5,7,8.2,7.5,7,7.7,7.65,
10024,"4º ano",7.1,7,7.3,,7.5,7.3,7.24,
